	Name	Location	Cuisine	Meals	Price Level (out of 4)	Rating (out of 6)	Review Count	Page URL	Address	Image URL	General Allergy Score
0	Luovuus kukkii kaaoksesta	Kaartinkaupunki 	International	Dinner	0	5.8	475	/en/place/luovuus-kukkii-kaaoksesta-90397/menu	Pieni Roobertinkatu 13, 00130 Helsinki	https://qul.imgix.net/0685d1bd-cc11-4655-a99a-a793dacf5b38/599871_sld.jpg	Neutral
1	Ravintola MyStuu	Punavuori 	Swiss	Lunch, Dessert, Dinner	0	5.6	295	/en/place/ravintola-my-stuu-98898/menu	Uudenmaankatu 13, 00120 Helsinki	https://qul.imgix.net/8e785a24-7574-4ca0-9bdc-74de95389a8d/679332_sld.jpg	Neutral
2	Gaucho	City Centre 	Brazilian	Dinner	0	5.6	1135	/en/place/gaucho-105125/menu	Aleksanterinkatu 9, 00100 Helsinki	https://qul.imgix.net/2a300fb4-e74e-4d52-b994-1e328767802d/731807_sld.jpg	1.0
3	Finlandia Caviar	City Centre 	Gourmet	Lunch, Dinner	0	5.6	144	/en/place/finlandia-caviar-15896/menu	Eteläranta 20, 00130 Helsinki	https://qul.imgix.net/d0db7c0a-9447-4191-a835-7ec91bc05b6d/641518_sld.jpg	Neutral
4	Restaurant Armenian House	Kamppi 	International	Lunch, Dinner	0	5.6	318	/en/place/armenian-house-55148/menu	Lönnrotinkatu 27, 00180 Helsinki	https://qul.imgix.net/1c51565b-266f-4f42-90bc-20ce2501d9bf/686552_sld.jpg	Neutral
5	The Alley	Kallio 	Fusion	Brunch, Dinner	0	5.6	139	/en/place/the-alley-105859/menu	Fleminginkatu 8, 00530 Helsinki	https://qul.imgix.net/7a610cd1-ae2e-4b10-8334-c2c5bf159224/734636_sld.jpg	Neutral
6	The Butter Boys	Sörnäinen 	International	Lunch, Dessert, Brunch, Dinner	0	5.7	118	/en/place/the-butter-boys-105313/menu	Aallonhalkoja 5, 00540 Helsinki	https://qul.imgix.net/cf984298-0547-42c1-aaff-7b9cdcde5bf7/728727_sld.jpg	Neutral
7	Ravintola KuuKuu	Töölö 	Scandinavian	Lunch, Dessert, Dinner	0	5.5	108	/en/place/ravintola-kuukuu-19730/menu	Museokatu 17, 00100 Helsinki	https://qul.imgix.net/aed4f7bd-181d-49de-a7e1-6aaf78960598/750911_sld.jpg	1.0
8	Daily Dose	Kallio 	Italian	Lunch, Dinner	0	5.6	114	/en/place/daily-dose-62737/menu	Hämeentie 68 C, 00550 Helsinki	https://qul.imgix.net/73d52ff4-e450-40f2-8940-c6eabdc0420c/713709_sld.jpg	Neutral
9	Passio	Kamppi 	Finnish	Dinner	0	5.3	368	/en/place/passio-keittio-ja-baari-59147/menu	Kalevankatu 13, 00100 Helsinki	https://qul.imgix.net/e509623c-b9e4-4420-8159-02f6bdaa9119/490717_sld.jpg	1.0
10	Ravintola Ani	Munkkisaari 	Turkish	Lunch, Dinner	0	5.4	117	/en/place/ravintola-ani-59172/menu	Telakkakatu 2, 00150 Helsinki	https://qul.imgix.net/66bdde52-3e74-4af1-9f2d-bdd80e82bff4/485567_sld.jpg	Neutral
11	Pompier ESPA	Kaartinkaupunki 	International	Lunch, Brunch, Dinner	0	5.5	1374	/en/place/pompier-espa-19553/menu	Eteläesplanadi  8, 00130 Helsinki	https://qul.imgix.net/82b8eb54-9b32-43a4-9021-0a5a29cd13fb/756457_sld.jpg	1.0
12	Gastro Cafe Kallio	Kallio 	European	Lunch, Dinner, Sunday lunch	0	5.6	86	/en/place/gastro-cafe-kallio-92196/menu	Fleminginkatu 7, 00530 Helsinki	https://qul.imgix.net/35fae910-fea1-4557-8935-af639d1df23f/607663_sld.jpg	1.0
13	Georgian Kitchen	Punavuori 	Georgian	Dinner	0	5.5	583	/en/place/georgian-kitchen-63457/menu	Albertinkatu 7, 00150 Helsinki	https://qul.imgix.net/05931b77-04bd-4392-b63d-ff3dedf09455/578371_sld.jpg	1.0
14	Levant Bulevardi	City Centre 	Middle Eastern	Lunch, Dinner	0	5.3	182	/en/place/levant-bulevardi-95447/menu	Bulevardi 15, 00120 Helsinki	https://qul.imgix.net/7115d0e6-cc45-47de-8803-82afdbcb9eb3/637127_sld.jpg	Neutral
15	Three Belly’s Pizza	Töölö 	Pizza	Dinner	0	5.5	278	/en/place/three-bellys-pizza-99263/menu	Töölöntullinkatu 4a, 00250 Helsinki	https://qul.imgix.net/0a2b4912-07ce-4074-8317-02ce8ab2a932/679472_sld.jpg	Neutral
16	Osteria dei Mancini	Punavuori 	Italian	Dessert, Dinner	0	5.4	396	/en/place/osteria-dei-mancini-104058/about	Tehtaankatu 38, 00150 Helsinki	https://qul.imgix.net/8e252626-8378-4076-8783-883b54fd472d/752843_sld.jpg	Neutral
17	Ravintola Kuu	Töölö 	Scandinavian	Dessert, Dinner	0	5.4	219	/en/place/ravintola-kuu-19834/menu	Töölönkatu  27, 00260 Helsinki	https://qul.imgix.net/7f1207ef-d479-4154-bf0d-f938571f3bcf/749563_sld.jpg	Neutral
18	Saiko Robata	Kamppi 	Japanese	Dinner	0	5.5	74	/en/place/saiko-robata-102792/about	Fredrikinkatu 47, 00100 Helsinki	https://qul.imgix.net/e527d4d9-8c65-4a4e-9c24-de1958b3ee6d/706252_sld.jpg	Neutral
19	Rioni Helsinki	Kaartinkaupunki 	Georgian	Lunch, Dinner	0	5.4	1003	/en/place/rioni-helsinki-93704/menu	Kasarmikatu 25, 00130 Helsinki	https://qul.imgix.net/5575a985-5272-4403-a494-53583c67f3cf/619708_sld.jpg	1.0
20	John Scott's Arkadia	City Centre 	International	Lunch, Dinner, Sunday lunch	0	5.4	106	/en/place/john-scotts-arkadia-96592/menu	Salomonkatu 1, 00100 Helsinki	https://qul.imgix.net/0e3f2b89-4e1c-432a-ab5c-ea0dd65da89b/647961_sld.jpg	Neutral
21	Ravintola Muru	City Centre 	French	Dinner	0	5.4	3559	/en/place/ravintola-muru-9646/menu	Fredrikinkatu 41, 00120 Helsinki	https://qul.imgix.net/97c21828-a49e-4355-801c-13dfefec5c49/444727_sld.jpg	0.75
22	Shabu House	Kallio 	Korean	Buffet, Lunch, Dinner	0	5.4	181	/en/place/shabu-house-98117/menu	Hämeentie 31, 00500 Helsinki	https://qul.imgix.net/0ee44dcd-04e5-46cb-bf73-6571714698ea/658977_sld.jpg	Neutral
23	Osteria dei Gusti	Töölö 	Italian	Lunch, Dinner	0	5.3	1286	/en/place/osteria-dei-gusti-94371/menu	Töölönkatu 1, 00100 Helsinki	https://qul.imgix.net/0bf1cd5b-31c4-4636-a6ad-c1edd668991d/663199_sld.jpg	Neutral
24	Lappi Ravintola	City Centre 	Finnish	Dessert, Dinner	0	5.3	1335	/en/place/lappi-ravintola-9753/menu	Annankatu 22, 00100 Helsinki	https://qul.imgix.net/72775efc-4a23-4428-814e-de50e5d6e4ee/414803_sld.jpg	1.0
25	Ravintola Kabuki	Kamppi 	Japanese	Lunch, Dinner	0	5.3	204	/en/place/ravintola-kabuki-64813/menu	Lapinlahdenkatu 12, 00180 Helsinki	https://qul.imgix.net/9c61db80-c793-4d70-8609-b2d0bbd5338c/531747_sld.jpg	0.0
26	Yeastie Boi	Kamppi 	Eat & Drink	Lunch, Dinner	0	5.5	60	/en/place/yeastie-boi-98651/menu	Annankatu 29b, 00100 Helsinki	https://qul.imgix.net/b047b637-ea0a-4696-9ab7-af7170d94d19/663813_sld.jpg	Neutral
27	Ravintola Lehtovaara	Töölö 	International	Lunch, Dinner	0	5.4	1903	/en/place/ravintola-lehtovaara-11619/menu	Mechelininkatu 39, 00250 Helsinki	https://qul.imgix.net/bf2f3a3d-340b-42bc-ae69-465007b1e40e/349110_sld.jpg	1.0
28	Winest	City Centre 	Drinks	Dinner	0	5.3	171	/en/place/winest-101709/menu	Unioninkatu 30, 00100 Helsinki	https://qul.imgix.net/470c596c-f435-479c-8ba6-e4a10107abe3/695770_sld.jpg	Neutral
29	Piccola Trattoria Kalasatama	Kalasatama 	Italian	Lunch, Dinner	0	5.5	82	/en/place/piccola-trattoria-kalasatama-100346/menu	Capellastranden 6, 00580 Helsinki	https://qul.imgix.net/d3ef1894-8920-4f2a-a8d1-0d904a819fa7/679882_sld.jpg	Neutral
30	Oishi 18 Katajanokka	Katajanokka 	Sushi	Lunch, Dinner	0	5.3	238	/en/place/oishi-18-katajanokka-95412/menu	Kruunuvuorenkatu 4, 00160 Helsinki	https://qul.imgix.net/e372e7de-2b74-4655-b029-20c5e2b45804/636422_sld.jpg	Neutral
31	Noodle Story Freda	Kamppi 	Asian	Lunch, Dinner	0	5.4	68	/en/place/noodle-story-freda-94139/menu	Fredrikinkatu 36, 00100 Helsinki	https://qul.imgix.net/5c34b0e3-88c0-4a44-b2f8-99ede45b9638/623625_sld.jpg	Neutral
32	Lie Mi Töölö	Töölö 	Vietnamese	Lunch, Dinner	0	5.3	206	/en/place/lie-mi-toolo-85623/menu	Runeberginkatu 56, 00260 Helsinki	https://qul.imgix.net/6934536a-06bc-4bdd-8f84-1669edf0cee0/633122_sld.jpg	Neutral
33	Oishi 18 Kallio	Kallio 	Sushi	Lunch, Dinner	0	5.3	382	/en/place/oishi-18-kallio-95411/menu	Vaasankatu 18, 00500 Helsinki	https://qul.imgix.net/ad5732c9-7c23-45b7-995d-f8c6bc234e00/636426_sld.jpg	1.0
34	OPPA Korean BBQ Kluuvi	City Centre 	Korean	Lunch, Dinner	0	5.3	198	/en/place/oppa-korean-bbq-kluuvi-93306/menu	Aleksanterinkatu 9, 00100 Helsinki	https://qul.imgix.net/25b87608-226c-4fa7-a75d-a50c40e034ce/618135_sld.jpg	Neutral
35	Oishi 18 Töölö	Töölö 	Sushi	Dinner	0	5.3	320	/en/place/oishi18-toolo-102144/about	Pohjoinen Hesperiankatu 15, 00260 Helsinki	https://qul.imgix.net/c16aeed1-1f27-4aed-b2d3-d0c6fb6ac6c8/696732_sld.jpg	1.0
36	OPPA Korean BBQ Kaisaniemi	Kaisaniemi 	Korean	Dinner	0	5.1	335	/en/place/oppa-korean-bbq-kaisaniemi-93303/menu	Kaisaniemenkatu 3, 00100 Helsinki	https://qul.imgix.net/7dbcf9ad-c3ac-4c96-83c6-ea96bf8ac2a9/615484_sld.jpg	1.0
37	GOODWIN The Steak House	City Centre 	Steak	Lunch, Dessert, Dinner	0	5.2	435	/en/place/goodwin-the-steak-house-33416/menu	Eteläranta 14, 00130 Helsinki	https://qul.imgix.net/78ee1af1-3a7b-476d-929c-e60456733bc5/558000_sld.jpg	Neutral
38	Lie Mi Kamppi	Kamppi 	Vietnamese	Lunch, Dinner	0	5.3	71	/en/place/lie-mi-kamppi-105063/menu	Urho Kekkosen katu 1, 00100 Helsinki	https://qul.imgix.net/a06773bf-e4fd-49fd-98e2-8624e4eb7344/725718_sld.jpg	Neutral
39	Gastro Hub	City Centre 	Georgian	Lunch, Dessert, Dinner	0	5.2	563	/en/place/gastro-hub-101348/menu	Unioninkatu 30, 00100 Helsinki	https://qul.imgix.net/2c89943f-1ae7-47f5-ba46-15cd1ed8bfae/700458_sld.jpg	Neutral
40	Konstan Möljä	Kamppi 	Scandinavian	Buffet	0	5.2	634	/en/place/konstan-molja-86945/menu	Hietalahdenkatu 14, 00180 Helsinki	https://qul.imgix.net/0522a4de-3878-420a-aab3-ca2f1a4d497b/552373_sld.jpg	1.0
41	Ravintola Segreto	Kallio 	Italian	Dinner	0	5.2	473	/en/place/ravintola-segreto-103744/menu	Kaarlenkatu 11, 00530 Helsinki	https://qul.imgix.net/a8a31f5c-22d5-4c6e-ba32-e09f280bef4b/716310_sld.jpg	1.0
42	Alfons Pizza	Ullanlinna 	Pizza	Dinner	0	5.3	85	/en/place/alfons-pizza-102482/menu	Vuorimiehenkatu 35, 00150 Helsinki	https://qul.imgix.net/2b6b0bf3-5f25-4144-8a4c-82949843ed6d/699897_sld.jpg	Neutral
43	Itsudemo Helsinki	Kamppi 	Sushi	Buffet, Lunch, Dessert, Dinner	0	5.2	353	/en/place/itsudemo-helsinki-55099/menu	Salomonkatu 3, 00100 Helsinki	https://qul.imgix.net/9b81d76c-ce25-43ec-a34f-5a351ef24176/458186_sld.jpg	1.0
44	Mizore Sushi & Sticks	Sörnäinen 	Sushi	Lunch, Dinner	0	5.1	257	/en/place/mizore-sushi-sticks-106386/menu	Vilhonvuorenkatu 7-9, 00500 Helsinki	https://qul.imgix.net/bd3ff7c0-022e-4e76-965e-1501f578bcf5/738134_sld.jpg	Neutral
45	Lie Mi Kallio	Kallio 	Vietnamese	Lunch, Dinner	0	5.2	141	/en/place/lie-mi-kallio-64811/about	Siltasaarenkatu 13, 00530 Helsinki	https://qul.imgix.net/f7d60a82-e1d6-4e00-93cb-de9231df582f/531735_sld.jpg	1.0
46	Ravintola Domo	City Centre 	Japanese	Lunch, Dessert, Dinner	0	5.2	114	/en/place/ravintola-domo-9985/menu	Kalevankatu 21, 00100 Helsinki	https://qul.imgix.net/8e880031-46c4-46f4-90a6-dd5fd3956509/367318_sld.jpg	Neutral
47	Ravintola Pastis	Kaartinkaupunki 	French	Lunch, Dessert, Dinner	0	5.2	1953	/en/place/ravintola-pastis-9647/about	Pieni Roobertinkatu 2, 00130 Helsinki	https://qul.imgix.net/a3b22e23-656d-4580-8b39-8554ae5dc64c/444722_sld.jpg	1.0
48	Be My Guest	Jätkäsaari 	Vietnamese	Lunch, Dinner	0	5.3	65	/en/place/be-my-guest-90739/menu	Välimerenkatu 14, 00220 Helsinki	https://qul.imgix.net/037940f3-b100-4785-8eef-b695f6bb74df/588666_sld.jpg	Neutral
49	Locanda Scappi	Katajanokka 	Italian	Breakfast, Lunch, Dinner	0	5.2	1370	/en/place/locanda-scappi-56071/menu	Kanavakatu 1, 00160 Helsinki	https://qul.imgix.net/941d01a0-ca92-4a78-ab74-01548ee80f78/740917_sld.jpg	1.0
50	Retro Enoteca	Kaisaniemi 	Italian	Dinner	0	5.1	215	/en/place/retro-enoteca-103875/menu	Vuorikatu 16, 00100 Helsinki	https://qul.imgix.net/ff329283-3ddd-4c31-8534-671cf897685d/767291_sld.jpg	Neutral
51	Vibami - Vietnamese Kitchen	City Centre 	Vietnamese	Lunch, Dinner	0	5.2	71	/en/place/vibami-vietnamese-kitchen-94863/menu	Kluuvi Shopping Centre, Yliopistonkatu 6, 00100 Helsinki	https://qul.imgix.net/a51d34b0-e522-466a-b655-efb121039755/675563_sld.jpg	Neutral
52	Mauritz	Munkkiniemi 	European	Lunch, Dinner	0	5.4	548	/en/place/mauritz-94400/menu	Munkkiniemen puistotie 17, 00330 Helsinki	https://qul.imgix.net/eb6614bb-f2c0-470c-af82-15700925fd0b/626139_sld.jpg	Neutral
53	Ravintola Carelia	Töölö 	French	Dessert, Dinner	0	5.1	111	/en/place/ravintola-carelia-9774/about	Mannerheimintie 56, 00260 Helsinki	https://qul.imgix.net/53b18c26-bb7e-4532-9f2c-c31c50384e17/768637_sld.jpg	1.0
54	Ristorante Il Trio	Töölö 	Italian	Lunch, Dessert, Dinner	0	5.2	379	/en/place/ristorante-il-trio-54885/menu	Mannerheimintie 63, 00250 Helsinki	https://qul.imgix.net/87ba8e68-80d0-4e87-8d61-54e857b99e33/446997_sld.jpg	Neutral
55	The Tart	Kaartinkaupunki 	International	Lunch, Dessert, Dinner	0	5.2	81	/en/place/the-tart-108248/menu	Yrjönkatu 2, 00120 Helsinki	https://qul.imgix.net/1bb78c9e-4d0e-40eb-afa7-17c532dc8151/757045_sld.jpg	1.0
56	Restaurant BRO	Hakaniemi 	Italian	Breakfast, Dessert, Brunch, Dinner	0	5.1	226	/en/place/pizzorante-bro-hilton-strand-63298/menu	John Stenbergin ranta 4, 00530 Helsinki	https://qul.imgix.net/1015bc87-abef-4430-a2c0-37e6090e3be1/758736_sld.jpg	Neutral
57	Bistro Le Coin	Hakaniemi 	French	Lunch, Dinner	0	5.1	608	/en/place/bistro-le-coin-98760/menu	Siltasaarenkatu 10, 00530 Helsinki	https://qul.imgix.net/16a7ea00-d54f-4d14-a013-fdc9bc03d0ab/668085_sld.jpg	Neutral
58	Ravintola Santa Fé Helsinki	City Centre 	Mexican	Lunch, Dinner	0	5.1	559	/en/place/ravintola-santa-fe-30462/menu	Aleksanterinkatu 15, 00100 Helsinki	https://qul.imgix.net/9c69ae30-ae2b-4e44-a8cf-f2f82c7de173/502804_sld.jpg	0.6666666666666666
59	Treffi Verkkosaari	Kalasatama 	Eat & Drink	Lunch, Dinner	0	5.3	93	/en/place/treffi-verkkosaari-103754/menu	Capellanranta 3, 00580 Helsinki	https://qul.imgix.net/2bcd2238-3f27-4d33-bffe-00e770d5c471/713710_sld.jpg	Neutral
60	MorriSon's Helsinki	City Centre 	International	Lunch, Dinner	0	5.1	260	/en/place/morrisons-helsinki-30468/menu	Ateneuminkuja 1, 00100 Helsinki	https://qul.imgix.net/5828644f-54ff-4598-a9c8-161a923e482c/502791_sld.jpg	1.0
61	Il Siciliano Espa	City Centre 	Italian	Lunch, Dessert, Dinner	0	5.1	104	/en/place/il-siciliano-espa-86935/menu	Pohjoisesplanadi 21, 00100 Helsinki	https://qul.imgix.net/4d3228b5-bdcf-4fe2-b9ab-c1be2f157062/672701_sld.jpg	Neutral
62	Viinibaari Apotek / Wine Bar Apotek	Kamppi 	Eat & Drink	Dinner	0	5.4	51	/en/place/viinibaari-apotek-wine-bar-apotek-107481/menu	Lapinlahdenkatu 1, 00180 Helsinki	https://qul.imgix.net/77e6639b-9e32-45fe-9598-a0183438e8c8/749132_sld.jpg	Neutral
63	Marski by Scandic Breakfast	City Centre 	Scandinavian	Breakfast	0	5.1	80	/en/place/marski-scandic-marski-86434/about	Mannerheimintie 10, 00100 Helsinki	https://qul.imgix.net/950f3213-46fd-4133-8d9e-499f4e99b436/546002_sld.jpg	Neutral
64	Kissakahvila Helkatti	Kamppi 	Eat & Drink	Lunch, Cake & Coffee	0	5.0	279	/en/place/kissakahvila-helkatti-106475/menu	Fredrikinkatu 55, 00100 Helsinki	https://qul.imgix.net/aeb327b8-e5be-40d6-a65e-09ad81ada61c/739648_sld.jpg	Neutral
65	Ravintola Georgian Vibe	Sörnäinen 	Georgian	Lunch, Dessert, Dinner	0	5.1	146	/en/place/ravintola-georgian-vibe-88735/menu	Hämeentie 62, 00500 Helsinki	https://qul.imgix.net/e27aac5b-3b1a-4cfb-a864-06388dac2d56/568149_sld.jpg	Neutral
66	Siipiweikot Kamppi	Kamppi 	International	Lunch, Dinner	0	5.5	49	/en/place/siipiweikot-kamppi-100506/menu	Lapinlahdenkatu 3, 00180 Helsinki	https://qul.imgix.net/c41541c3-426b-452b-9b8b-8b1e307896bf/681395_sld.jpg	Neutral
67	Georgian Supra	Sörnäinen 	Georgian	Lunch, Dinner	0	5.7	45	/en/place/georgian-supra-107930/menu	Hameentie 36, 00530 Helsinki	https://qul.imgix.net/c9e3c943-7792-4d62-b0f9-7e216c0f5ab0/752858_sld.jpg	Neutral
68	Pueblo Bar y Taqueria	Kamppi 	Mexican	Dessert, Dinner	0	5.0	392	/en/place/pueblo-bar-y-taqueria-51880/menu	Eerikinkatu 27, 00180 Helsinki	https://qul.imgix.net/0e989742-11a9-485b-a4de-6c61040c2bcf/411055_sld.jpg	0.0
69	Brokadi Tripla	Pasila 	Chinese	Lunch, Dinner	0	5.2	176	/en/place/ravintola-brokadi-tripla-62705/menu	Fredikanterassi 1, 00520 Helsinki	https://qul.imgix.net/f247f18c-3682-4066-ab2d-41176296ce19/625456_sld.jpg	Neutral
70	Capperi - Tripla	Pasila 	Italian	Lunch, Dinner	0	5.2	172	/en/place/capperi-tripla-59082/menu	Fredikanterassi 1, 3 krs, 00520 Helsinki	https://qul.imgix.net/94e50cba-b838-4d15-a4e6-4482305b0bf9/480632_sld.jpg	1.0
71	Ravintola Central	Ullanlinna 	International	Lunch, Dinner	0	5.0	492	/en/place/ravintola-central-60734/menu	Pietarinkatu 15, 00140 Helsinki	https://qul.imgix.net/8552557a-02ca-488d-aa38-c29e589f2b29/720493_sld.jpg	Neutral
72	Mamma Rosa	Töölö 	International	Lunch, Dinner	0	5.0	4842	/en/place/mamma-rosa-24808/menu	Runeberginkatu 55, 00260 Helsinki	https://qul.imgix.net/f90d6362-7ac4-459e-8b36-cd3f16c5db19/630325_sld.jpg	0.7272727272727273
73	Pomo D'Or Hietalahti	Hietalahti 	Italian	Lunch, Dessert, Dinner	0	5.5	46	/en/place/pomo-dor-hietalahti-106599/menu	Hietalahdenranta 11, 00180 Helsinki	https://qul.imgix.net/ea7cc4e1-cd24-4f4e-9dcd-fbc0d51bdde9/740074_sld.jpg	Neutral
74	Meripaviljonki	Hakaniemi 	Seafood	Lunch, Dinner	0	5.0	137	/en/place/meripaviljonki-30392/about	Säästöpankinranta 3, 00530 Helsinki	https://qul.imgix.net/6eb72696-340d-4c11-be24-f3125d42f2fe/742950_sld.jpg	1.0
75	Zaap Isan Thai Streetfood Töölönlahti	City Centre 	Thai	Lunch, Dessert, Dinner	0	5.0	82	/en/place/zaap-isan-thai-streetfood-toolonlahti-98510/about	Töölönlahdenkatu 3, 00100 Helsinki	https://qul.imgix.net/ba28d116-cb0e-4127-a69e-edb95d5c2ef0/662640_sld.jpg	Neutral
76	Alice Italian	Vallila 	Italian	Breakfast, Lunch, Dinner	0	5.0	201	/en/place/alice-italian-48550/about	Konepajankuja 1, 00510 Helsinki	https://qul.imgix.net/493edee9-0246-4e60-b0e7-f0eea2f09395/433180_sld.jpg	0.0
77	Tinku Café Bar	Töölö 	Latin American	Lunch, Dinner, Cake & Coffee	0	5.0	76	/en/place/tinku-cafe-bar-103705/menu	Topeliuksenkatu 1, 00260 Helsinki	https://qul.imgix.net/f07fc75c-b28a-4b04-9f4d-f65e3d0997c1/712999_sld.jpg	Neutral
78	Brasserie Grand	City Centre 	European	Dessert, Dinner	0	4.8	388	/en/place/scandic-grand-central-helsinki-87878/menu	Vilhonkatu 13, 00100 Helsinki	https://qul.imgix.net/98709c92-a22e-4c4a-9458-36d0feee7949/564641_sld.jpg	1.0
79	Victors Krog	Eteläranta 	Finnish	Lunch, Dinner	0	5.1	61	/en/place/victors-krog-107015/menu	Eteläranta 16, 00130 Helsinki	https://qul.imgix.net/07a8c965-1560-496d-a56a-51e3dc942fd8/749486_sld.jpg	Neutral
80	Version	Kaartinkaupunki 	Eat & Drink	Breakfast, Lunch, Dinner	0	4.9	312	/en/place/version-89835/menu	Unioninkatu 14, 00130 Helsinki	https://qul.imgix.net/2848fc22-b018-4c8f-b302-5f0e94bb211f/670488_sld.jpg	Neutral
81	Vinolito Wine & Tapas	Kallio 	Eat & Drink	Tapas, Dessert	0	5.1	66	/en/place/vinolito-wine-tapas-98939/about	Hämeentie 26, 00530 Helsinki	https://qul.imgix.net/8ebd0544-1766-4b0f-bfd3-c8c5d390eb57/666671_sld.jpg	Neutral
82	Block By Dylan	City Centre 	International	Breakfast, Buffet, Lunch, Brunch	0	4.9	946	/en/place/block-by-dylan-16710/menu	Eteläranta  18, 00130 Helsinki	https://qul.imgix.net/5e5a9161-b247-4f69-ae01-29afba062569/368249_sld.jpg	0.8333333333333334
83	Lie Mi Bulevardi	City Centre 	Vietnamese	Lunch, Dinner	0	4.9	268	/en/place/lie-mi-bulevardi-64812/menu	Bulevardi 21, 00100 Helsinki	https://qul.imgix.net/f30424ef-1c9e-4251-9b72-27ef713fbd1a/531741_sld.jpg	Neutral
84	Kuusi Palaa	City Centre 	Nordic	Dessert, Dinner	0	4.8	388	/en/place/ravintola-kuusi-palaa-scandic-marski-63294/menu	Mannerheimintie 10, 00100 Helsinki	https://qul.imgix.net/31c94469-0b7b-4a26-8c2c-feb50481fe28/526447_sld.jpg	0.6666666666666666
85	Cafe Bar No 9	Punavuori 	International	Lunch, Dinner	0	4.9	117	/en/place/cafe-bar-no-9-94429/menu	Uudenmaankatu 9, 00120 Helsinki	https://qul.imgix.net/deb6d05f-7645-48dd-8164-e652530701d3/626450_sld.jpg	Neutral
